MaSanPham,TenSanPham,DVT,GiaNhap,GiaBan,MaDanhMuc
SP001,Cháo Gấu Đỏ 200ml,Kg,69000,87000,DM1
SP002,Coca Cola Mới,Gói,97000,115000,DM2
SP003,Bia Heineken 500g,Gói,87000,107000,DM3
SP004,Sữa chua Vinamilk 200ml,Cái,56000,63000,DM4
SP005,Bánh Oreo Mới,Gói,4000,9000,DM5
SP006,Kem Merino Thùng,Hộp,91000,108000,DM6
SP007,Rau muống sạch 1kg,Hộp,86000,95000,DM7
SP008,Xôi mặn 1kg,Kg,98000,105000,DM8
SP009,Sản phẩm tiện ích 1kg,Lon,58000,78000,DM9
SP010,Sữa rửa mặt Oxy Cao cấp,Gói,38000,49000,DM10
SP011,Bàn chải PS Mới,Hộp,25000,43000,DM11
SP012,Nước rửa bát Sunlight 1kg,Kg,74000,94000,DM12
SP013,Pin AA Mới,Vỉ,30000,33000,DM13
SP014,Băng dính Thùng,Túi,82000,99000,DM14
SP015,Bánh gạo trẻ em 200ml,Lon,44000,57000,DM15
SP016,Dầu gió Trường Sơn 1kg,Hộp,32000,50000,DM16
SP017,Pate mèo Me-O Thùng,Hộp,4000,24000,DM17
SP018,Tất nam Combo 2,Kg,90000,100000,DM18
SP019,Gạo lứt đỏ Cao cấp,Túi,20000,39000,DM19
SP020,Ống hút nhựa Combo 2,Vỉ,92000,103000,DM20
SP021,Coca Cola 200ml,Hộp,31000,49000,DM2
SP022,Gạo thơm lài Mới,Cái,33000,37000,DM19
SP023,Sổ tay A5 1kg,Cái,12000,28000,DM14
SP024,Trứng gà vỉ 10 Thùng,Gói,48000,53000,DM7
SP025,Nước súc miệng 200ml,Hộp,3000,12000,DM11
SP026,Sản phẩm tiện ích Thùng,Lon,12000,28000,DM9
SP027,Nước súc miệng Combo 2,Cái,93000,107000,DM11
SP028,Dầu gội Clear 500g,Gói,74000,93000,DM10
SP029,Gạo thơm lài 200ml,Vỉ,98000,101000,DM19
SP030,Thức ăn mèo Whiskas Thùng,Túi,74000,81000,DM17
SP031,Coca Cola 500g,Túi,74000,88000,DM2
SP032,Hạt chó Pedigree Combo 2,Gói,20000,28000,DM17
SP033,Nước rửa bát Sunlight 500g,Cái,42000,49000,DM12
SP034,Phở Cung Đình 500g,Gói,23000,34000,DM1
SP035,Sandwich Thùng,Kg,96000,98000,DM8
SP036,Nước tẩy Vim Combo 2,Cái,6000,8000,DM12
SP037,Khăn giấy Paseo Thùng,Cái,40000,47000,DM13
SP038,Gạo lứt đỏ 500g,Túi,72000,80000,DM19
SP039,Váng sữa Monte 1kg,Gói,21000,34000,DM15
SP040,Cá viên chiên 200ml,Cái,52000,66000,DM6
SP041,Sting dâu Mới,Cái,50000,55000,DM2
SP042,Xôi mặn Mới,Lon,33000,41000,DM8
SP043,Sữa Milo Combo 2,Hộp,41000,61000,DM4
SP044,Bánh gạo trẻ em 200ml,Kg,96000,116000,DM15
SP045,Gạo thơm lài 500g,Túi,11000,29000,DM19
SP046,Thuốc Panadol Mới,Cái,78000,81000,DM16
SP047,Phở Cung Đình Combo 2,Cái,48000,56000,DM1
SP048,Ức gà Mới,Gói,31000,34000,DM7
SP049,Sữa tươi TH True Milk Cao cấp,Gói,69000,77000,DM4
SP050,Pin AA 1kg,Túi,19000,35000,DM13
